ID,Function,Comment
18,"function transferPreSignedHashing ( address _token , address _to , uint256 _value , uint256 _fee , uint256 _nonce , uint256 _validUntil ) public pure returns ( bytes32 ) { return keccak256 ( bytes4 ( 0x0d2d1bf5 ) , _token , _to , _value , _fee , _nonce , _validUntil ) ; }",Hash ( keccak256 ) of the payload used by transferPreSigned
22,"function transfer ( address _to , uint256 _value ) returns ( bool ) { require ( _to != address ( 0 ) ) ; balances [ msg . sender ] = balances [ msg . sender ] . sub ( _value ) ; balances [ _to ] = balances [ _to ] . add ( _value ) ; Transfer ( msg . sender , _to , _value ) ; return true ; }",send ` _value ` token to ` _to `
23,"function updateGiver ( uint64 idGiver , address newAddr , string newName , string newUrl , uint64 newCommitTime ) { PledgeAdmin storage giver = findAdmin ( idGiver ) ; require ( giver . adminType == PledgeAdminType . Giver ) ; require ( giver . addr == msg . sender ) ; giver . addr = newAddr ; giver . name = newName ; giver . url = newUrl ; giver . commitTime = newCommitTime ; GiverUpdated ( idGiver ) ; }","Updates a Giver 's info to change the address , name , url , or commitTime , it can not be used to change a plugin , and it must be called by the current address of the Giver"
25,"function claimReward ( uint _challengeID , uint _salt ) public { require ( challenges [ _challengeID ] . tokenClaims [ msg . sender ] == false ) ; require ( challenges [ _challengeID ] . resolved == true ) ; uint voterTokens = voting . getNumPassingTokens ( msg . sender , _challengeID , _salt ) ; uint reward = voterReward ( msg . sender , _challengeID , _salt ) ; challenges [ _challengeID ] . winningTokens -= voterTokens ; challenges [ _challengeID ] . rewardPool -= reward ; require ( token . transfer ( msg . sender , reward ) ) ; challenges [ _challengeID ] . tokenClaims [ msg . sender ] = true ; }",claim the tokens owed for the msg.sender in the provided challenge
26,function claimProfitEquivalent ( ) public { uint256 toPay ; for ( uint k = 0 ; k <= yearsPast . length - 1 ; k ++ ) { toPay += snapShot [ yearsPast [ k ] ] [ msg . sender ] ; snapShot [ yearsPast [ k ] ] [ msg . sender ] = 0 ; } msg . sender . transfer ( toPay ) ; peLastPeriod -= toPay ; },Allow user to claim his PE on his Ethereum Address .
28,function getTime ( ) internal view returns ( uint256 ) { return now ; },This function is overrided by the test Mocks .
29,"function QToken ( address target , uint256 qAmount ) onlyOwner public { balanceOf [ target ] += qAmount ; totalSupply += qAmount ; emit Transfer ( 0 , this , qAmount ) ; emit Transfer ( this , target , qAmount ) ; }",Create ` qAmount ` tokens and send it to ` target `
30,function getMembersArrayLength ( ) public view returns ( uint256 ) { return membersArray . length ; },Called in order to get the number of members on the platform
31,"function unlockMiner ( ) public locked onlyOwner { require ( block . timestamp >= minerRelaseTime ) ; require ( minerLockedAmount > 0 ) ; uint256 amount = token . balanceOf ( this ) ; require ( amount >= minerLockedAmount ) ; token . transfer ( minerLockAddress , minerLockedAmount ) ; minerLockedAmount = 0 ; }",Transfers tokens held by timelock to miner .
32,function setCurrentPrice ( uint256 newPrice ) public onlyOwner { currentPrice = newPrice ; },Allows the owner of this contract to set the currentPrice for each token
33,"function finalize ( bool _forceRefund ) onlyOwner public returns ( bool ) { if ( isFinalized ) { error ( 'finalize: ICO is already finalized.' ) ; return false ; } if ( weisRaised >= weisSoftCap && ! _forceRefund ) { if ( ! SCRefundVault . close ( ) ) { error ( 'finalize: SCRefundVault.close() failed' ) ; return false ; } } else { if ( ! SCRefundVault . enableRefunds ( ) ) { error ( 'finalize: SCRefundVault.enableRefunds() failed' ) ; return false ; } if ( _forceRefund ) { emit ForceRefund ( ) ; } } uint256 balanceAmount = SCTokens . balanceOf ( this ) ; if ( ! SCTokens . transfer ( address ( SCEscrow ) , balanceAmount ) ) { error ( 'finalize: unable to return remaining ICO tokens' ) ; return false ; } if ( ! SCEscrow . deposit ( balanceAmount ) ) { error ( 'finalize: unable to return remaining ICO tokens' ) ; return false ; } isFinalized = true ; emit Finalized ( ) ; return true ; }","Must be called by owner before or after ICO ends , to check whether soft cap is reached and transfer collected funds"
34,"function registerDeed ( string propertyAddress , string document ) public { require ( __isSenderInRole ( ROLE_DEED_REGISTRANT ) ) ; uint256 documentHash = uint256 ( keccak256 ( document ) ) ; require ( documentRegistry [ documentHash ] == 0 ) ; require ( document . contains ( propertyAddress ) ) ; documentRegistry [ documentHash ] = now ; uint256 propertyAddressHash = uint256 ( keccak256 ( propertyAddress ) ) ; if ( addressRegistry [ propertyAddressHash ] . length == 0 ) { knownPropertyAddresses . push ( propertyAddress ) ; } addressRegistry [ propertyAddressHash ] . push ( document ) ; emit DeedRegistered ( propertyAddress , document ) ; }","A ` document ` may not necessarily represent a document itself , it can also be its metadata or just a hash"
35,function calculateCurrentBlock ( uint256 _stakeNumber ) internal view returns ( uint256 currentBlock ) { currentBlock = block . number ; if ( currentBlock >= stakes [ msg . sender ] [ _stakeNumber ] . blockUnlocked ) { currentBlock = stakes [ msg . sender ] [ _stakeNumber ] . blockUnlocked ; } },This is a helper function used to calculate how many blocks to mint coins for
36,function SetContractorManager ( address _contractorManager ) ;,Function used by the creator to set the contractor manager smart contract
37,"function isSigned ( address _address , bytes32 messageHash , uint8 v , bytes32 r , bytes32 s ) public pure returns ( bool ) { return _isSigned ( _address , messageHash , v , r , s ) || _isSignedPrefixed ( _address , messageHash , v , r , s ) ; }",Determines whether the passed signature of ` messageHash ` was made by the private key of ` _address ` .
38,"function commitVote ( uint _pollID , bytes32 _secretHash , uint _numTokens , uint _prevPollID ) external { require ( commitPeriodActive ( _pollID ) ) ; require ( voteTokenBalance [ msg . sender ] >= _numTokens ) ; require ( _pollID != 0 ) ; require ( _prevPollID == 0 || dllMap [ msg . sender ] . contains ( _prevPollID ) ) ; uint nextPollID = dllMap [ msg . sender ] . getNext ( _prevPollID ) ; nextPollID = ( nextPollID == _pollID ) ? dllMap [ msg . sender ] . getNext ( _pollID ) : nextPollID ; require ( validPosition ( _prevPollID , nextPollID , msg . sender , _numTokens ) ) ; dllMap [ msg . sender ] . insert ( _prevPollID , _pollID , nextPollID ) ; bytes32 UUID = attrUUID ( msg . sender , _pollID ) ; store . setAttribute ( UUID , ""numTokens"" , _numTokens ) ; store . setAttribute ( UUID , ""commitHash"" , uint ( _secretHash ) ) ; pollMap [ _pollID ] . didCommit [ msg . sender ] = true ; _VoteCommitted ( _pollID , _numTokens , msg . sender ) ; }",Commits vote using hash of choice and secret salt to conceal vote until reveal
39,"function createDividendWithCheckpointAndExclusions ( uint256 _maturity , uint256 _expiry , uint256 _checkpointId , address [ ] _excluded , bytes32 _name ) public payable withPerm ( MANAGE ) { _createDividendWithCheckpointAndExclusions ( _maturity , _expiry , _checkpointId , _excluded , _name ) ; }","Creates a dividend with a provided checkpoint , specifying explicit excluded addresses"
40,function totalSupply ( ) public view returns ( uint ) { return rabbits . length - 1 ; },Returns the total number of rabbits currently in existence .
41,"function staticChecks ( Trade [ ] trades , TradeFlag [ ] tradeFlags ) public view whenNotPaused { bool previousBuyOccured = false ; for ( uint256 i ; i < trades . length ; i ++ ) { Trade memory thisTrade = trades [ i ] ; if ( thisTrade . isSell ) { if ( previousBuyOccured ) { errorReporter . revertTx ( ""A buy has occured before this sell"" ) ; } if ( ! Utils . tokenAllowanceAndBalanceSet ( msg . sender , thisTrade . tokenAddress , thisTrade . tokenAmount , tokenTransferProxy ) ) { if ( ! thisTrade . optionalTrade ) { errorReporter . revertTx ( ""Taker has not sent allowance/balance on a non-optional trade"" ) ; } tradeFlags [ i ] . ignoreTrade = true ; continue ; } } else { previousBuyOccured = true ; } for ( uint256 j ; j < thisTrade . orders . length ; j ++ ) { Order memory thisOrder = thisTrade . orders [ j ] ; if ( ! handlerWhitelistMap [ thisOrder . exchangeHandler ] ) { tradeFlags [ i ] . ignoreOrder [ j ] = true ; continue ; } } } }",Performs static checks on the rebalance payload before execution
43,"function onTransfer ( address _from , address _to , uint _amount ) public initialized returns ( bool ) { return false ; }",Notifies the controller about a token transfer allowing the controller to react if desired
44,"function transferToAddress ( address to , uint256 value , bytes data ) public whenNotPaused afterCrowdsale returns ( bool _success ) { return super . transferToAddress ( to , value , data ) ; }",Override the functions to not allow token transfers until the end of the ICO
45,function setOracleURL ( string _oracleURL ) onlyOwner public { oracleURL = _oracleURL ; },Allows owner to set URL used in Oraclize queries
47,"function removeAttribute ( uint256 attributeTypeID ) external { require ( ! _attributeTypes [ attributeTypeID ] . restricted , ""only jurisdiction or issuing validator may remove a restricted attribute"" ) ; require ( _issuedAttributes [ msg . sender ] [ attributeTypeID ] . exists , ""only existing attributes may be removed"" ) ; address validator = _issuedAttributes [ msg . sender ] [ attributeTypeID ] . validator ; uint256 stake = _issuedAttributes [ msg . sender ] [ attributeTypeID ] . stake ; address refundAddress ; if ( _issuedAttributes [ msg . sender ] [ attributeTypeID ] . setPersonally ) { refundAddress = msg . sender ; } else { address operator = _issuedAttributes [ msg . sender ] [ attributeTypeID ] . operator ; if ( operator == address ( 0 ) ) { refundAddress = validator ; } else { refundAddress = operator ; } } delete _issuedAttributes [ msg . sender ] [ attributeTypeID ] ; emit AttributeRemoved ( validator , msg . sender , attributeTypeID ) ; if ( stake > 0 && address ( this ) . balance >= stake ) { if ( refundAddress . send ( stake ) ) { emit StakeRefunded ( refundAddress , attributeTypeID , stake ) ; } } }",Remove an attribute of the type with ID ` attributeTypeID ` from account of ` msg.sender ` .
52,"function claimTokens ( token _address ) public { require ( state == State . Successful ) ; require ( msg . sender == creator ) ; uint256 remainder = _address . balanceOf ( this ) ; _address . transfer ( creator , remainder ) ; }",Function to claim any token stuck on contract
53,function getCurrencySymbol ( ) external view returns ( bytes32 ) { return currencySymbol ; },Returns symbol of oracle currency ( 0x0 for ETH )
57,"function batchReclaimExpiredSwaps ( bytes32 msigId , bytes32 [ ] swapIds ) public { for ( uint i = 0 ; i < swapIds . length ; ++ i ) reclaimExpiredSwaps ( msigId , swapIds [ i ] ) ; }","Reclaim all the expired , non-empty swaps into a multisig"
61,function setupEventsHistory ( address _eventsHistory ) external auth returns ( uint ) { require ( _eventsHistory != 0x0 ) ; _setEventsHistory ( _eventsHistory ) ; return OK ; },Sets up events history address Allowed only for authorized roles .
63,"function issueNomins ( uint amount ) public optionalProxy requireIssuer ( messageSender ) { address sender = messageSender ; require ( amount <= remainingIssuableNomins ( sender ) ) ; uint lastTot = nomin . totalSupply ( ) ; uint preIssued = nominsIssued [ sender ] ; nomin . issue ( sender , amount ) ; nominsIssued [ sender ] = safeAdd ( preIssued , amount ) ; updateIssuanceData ( sender , preIssued , lastTot ) ; }",Issue nomins against the sender 's havvens .
66,function _forwardFunds ( ) internal { },Stops the crowdsale contract from sending ethers .
67,"function setAllowedTransferTo ( address to , bool allowed ) public only ( ROLE_EURT_LEGAL_MANAGER ) { setAllowedTransferToPrivate ( to , allowed ) ; }",enables or disables address to be receipient of EUR-T
69,function motionVoting ( uint motionID ) public view returns ( bool ) { return motionStartTime [ motionID ] < now && now < motionStartTime [ motionID ] + votingPeriod ; },"There is a motion in progress on the specified account , and votes are being accepted in that motion ."
71,"function tokenURI ( uint256 _tokenId ) external view returns ( string ret ) { string memory tokenIdAsString = uintToString ( uint ( _tokenId ) ) ; ret = string ( abi . encodePacked ( _tokenURI , tokenIdAsString , ""/"" ) ) ; }",A distinct Uniform Resource Identifier ( URI ) for a given asset .
72,"function purchase ( uint256 _nftId ) external payable mustBeValidToken ( _nftId ) mustBeOwnedByThisContract ( _nftId ) { require ( msg . value == SALE_PRICE ) ; _transfer ( _nftId , msg . sender ) ; }","The price is always 0.5 ether , and you can buy any available square Be sure you are calling this from a regular account ( not a smart contract ) or if you are calling from a smart contract , make sure it can use ERC-721 non-fungible tokens"
73,"function send ( address _to , uint256 _amount , bytes _data ) public { doSend ( msg . sender , msg . sender , _to , _amount , _data , """" , true ) ; }",Send ` _amount ` of tokens to address ` _to ` passing ` _data ` to the recipient
75,"function batchTransferFrom ( uint256 [ ] _tokenIds , address _from , address _to ) public { require ( isBatchSupported ) ; require ( _tokenIds . length > 0 && _from != address ( 0 ) && _to != address ( 0 ) ) ; uint256 _id ; for ( uint256 i = 0 ; i < _tokenIds . length ; ++ i ) { require ( _tokenIds [ i ] != 0 ) ; _id = _tokenIds [ i ] ; transferFrom ( _from , _to , _id ) ; } }",Batch TransferFrom with the same to & from address
79,"function approve ( address _to , uint256 _tokenId ) public { require ( _owns ( msg . sender , _tokenId ) ) ; memeIndexToApproved [ _tokenId ] = _to ; Approval ( msg . sender , _to , _tokenId ) ; }",Grant another address the right to transfer token via takeOwnership ( ) and transferFrom ( ) .
80,function balanceOf ( address _owner ) constant returns ( uint256 balance ) ;,Get the account balance of another account with address _owner
81,function pickUniquePacks ( uint [ ] assetIds ) public view returns ( uint [ ] ) { require ( assetIds . length > 0 ) ; uint [ ] memory packs = new uint [ ] ( assetIds . length ) ; uint packsCount = 0 ; for ( uint i = 0 ; i < assetIds . length ; i ++ ) { Asset memory asset = assets [ assetIds [ i ] ] ; bool exists = false ; for ( uint j = 0 ; j < packsCount ; j ++ ) { if ( asset . packId == packs [ j ] ) { exists = true ; } } if ( ! exists ) { packs [ packsCount ] = asset . packId ; packsCount ++ ; } } uint [ ] memory finalPacks = new uint [ ] ( packsCount ) ; for ( i = 0 ; i < packsCount ; i ++ ) { finalPacks [ i ] = packs [ i ] ; } return finalPacks ; },method that gets all unique packs from array of assets
83,"function init ( ChronoBankPlatform _chronoBankPlatform , string _symbol , string _name ) public returns ( bool ) { if ( address ( chronoBankPlatform ) != 0x0 ) { return false ; } chronoBankPlatform = _chronoBankPlatform ; symbol = _symbol ; smbl = stringToBytes32 ( _symbol ) ; name = _name ; return true ; }","Sets platform address , assigns symbol and name ."
84,"function finalize ( ) public onlyController { assert ( token . totalSupply ( ) >= distributionCap ( ) ) ; doMint ( reserveWallet , totalReserve ) ; finalizedBlock = getBlockNumber ( ) ; token . finalize ( ) ; token . changeController ( controller ) ; Finalized ( ) ; }",This method can be called the distribution cap is reached only
85,"function approveAndCall ( address _spender , uint256 _value , bytes _extraData ) returns ( bool success ) { testmonedarecipiente spender = testmonedarecipiente ( _spender ) ; if ( approve ( _spender , _value ) ) { spender . receiveApproval ( msg . sender , _value , this , _extraData ) ; return true ; } }","Allows ` _spender ` to spend no more than ` _value ` tokens in your behalf , and then ping the contract about it"
86,function setMaxSecurityGuardDelay ( uint _maxSecurityGuardDelay ) onlyOwner external { maxSecurityGuardDelay = _maxSecurityGuardDelay ; },` onlyOwner ` Changes the maximum number of seconds ` securityGuard ` can delay a payment
87,"function purchase ( uint256 _tokenId ) external payable whenNotPaused { require ( ethernautsStorage . hasAnyAttrs ( _tokenId , ATTR_GOLDENGOOSE ) ) ; address oldOwner = ethernautsStorage . ownerOf ( _tokenId ) ; address newOwner = msg . sender ; uint256 sellingPrice = ethernautsStorage . priceOf ( _tokenId ) ; require ( oldOwner != newOwner ) ; require ( newOwner != address ( 0 ) ) ; require ( msg . value >= sellingPrice ) ; uint256 payment = uint256 ( SafeMath . div ( SafeMath . mul ( sellingPrice , percentageFee1Step ) , 100 ) ) ; uint256 purchaseExcess = SafeMath . sub ( msg . value , sellingPrice ) ; uint256 newPrice = sellingPrice ; if ( sellingPrice < firstStepLimit ) { newPrice = SafeMath . div ( SafeMath . mul ( sellingPrice , percentage1Step ) , percentageBase ) ; } else if ( sellingPrice < secondStepLimit ) { payment = uint256 ( SafeMath . div ( SafeMath . mul ( sellingPrice , percentageFee2Step ) , 100 ) ) ; newPrice = SafeMath . div ( SafeMath . mul ( sellingPrice , percentage2Step ) , percentageBase ) ; } else { payment = uint256 ( SafeMath . div ( SafeMath . mul ( sellingPrice , percentageFeeSteps ) , 100 ) ) ; newPrice = SafeMath . div ( SafeMath . mul ( sellingPrice , percentageSteps ) , percentageBase ) ; } if ( oldOwner != address ( this ) ) { oldOwner . transfer ( payment ) ; } ethernautsStorage . transfer ( oldOwner , newOwner , _tokenId ) ; ethernautsStorage . setPrice ( _tokenId , newPrice ) ; Purchase ( _tokenId , sellingPrice , newPrice , oldOwner , newOwner ) ; msg . sender . transfer ( purchaseExcess ) ; }",Allows someone buy obtain an GoldenGoose asset token
88,function setTransfersEnabled ( bool enable ) onlyOwner public { transfersEnabled = enable ; },Use for disable transfers before exchange to main BOB tokens
89,"function getInfo ( string _zitetag ) external view returns ( string ) { bytes32 hash = keccak256 ( abi . encodePacked ( 'zitetag.' , _zitetag ) ) ; string memory info = zer0netDb . getString ( hash ) ; return ( info ) ; }",Retrieves the registration info for the given zitetag .
90,"function verifyModule ( address _moduleFactory , bool _verified ) external onlyOwner returns ( bool ) { require ( registry [ _moduleFactory ] != 0 , ""Module factory should have been already registered"" ) ; verified [ _moduleFactory ] = _verified ; emit LogModuleVerified ( _moduleFactory , _verified ) ; return true ; }",( The only exception to this is that the author of the module is the owner of the ST )
91,"function updateContract ( string _contractName , address _newAddress ) external ;",Update an existing contract ( changing the address )
93,function roundMoneyUpToWholeFinney ( uint _valueWei ) constant internal returns ( uint valueFinney ) { return ( 1 finney + _valueWei - 1 wei ) / 1 finney ; },Convert ` _valueWei ` into a whole number of finney .
94,"function approveSynthesizing ( address _address , uint256 _yangId ) external whenNotPaused { require ( _owns ( msg . sender , _yangId ) ) ; synthesizeAllowedToAddress [ _yangId ] = _address ; }",Grants approval to another user to synthesize with one of your Kydys .
95,"function moveTokens ( address _to , bytes16 _uuid , uint256 _tokensCount ) onlyAllowedAddresses whenNotPaused external { rntTokenVault . moveTokensToAddress ( _uuid , _to , _tokensCount ) ; }",Function for transfering tokens from account to specified address .
96,function setLiquidPledging ( address _newLiquidPledging ) public onlyOwner { require ( address ( liquidPledging ) == 0x0 ) ; liquidPledging = LiquidPledging ( _newLiquidPledging ) ; },"` onlyOwner ` used to attach a specific liquidPledging instance to this LPvault ; keep in mind that once a liquidPledging contract is attached it can not be undone , this vault will be forever connected"
97,function unpause ( ) public onlyManager { paused = false ; },This is public rather than external so it can be called by derived contracts .
98,function getContentHash ( bytes32 question_id ) public view returns ( bytes32 ) { },"Returns the questions 's content hash , identifying the question content"
99,"function unlock ( ) external onlyOwner vaultLocked { require ( unlockedAt == 0 , ""Must not be unlocked yet"" ) ; require ( block . timestamp >= lockedAt . add ( vestingPeriod ) , ""Lock up must be over"" ) ; unlockedAt = block . timestamp ; emit Unlocked ( ) ; }","Unlock the vault , allowing the tokens to be distributed to their beneficiaries ."
100,"function getModulesByTypeAndToken ( uint8 _moduleType , address _securityToken ) external view returns ( address [ ] ) ;",Returns the list of available Module factory addresses of a particular type for a given token .
101,function getMinerBlock ( ) public constant returns ( uint256 ) { return getBlockOf ( msg . sender ) ; },Return the block in which the miner is
102,"function claimTokensByMerkleProof ( bytes32 [ ] _proof , bytes32 _operationId , uint _position , uint _amount ) external whenNotPaused returns ( uint ) { bytes32 leaf = _calculateMerkleLeaf ( _operationId , _position , msg . sender , _amount ) ; require ( completedAirdrops [ _operationId ] == false , ""AIRDROP_ALREADY_CLAIMED"" ) ; require ( checkMerkleProof ( merkleRoot , _proof , _position , leaf ) , ""AIRDROP_INVALID_PROOF"" ) ; require ( token . transfer ( msg . sender , _amount ) , ""AIRDROP_TRANSFER_FAILURE"" ) ; completedAirdrops [ _operationId ] = true ; emit LogAirdropClaimed ( msg . sender , _operationId , _amount ) ; return OK ; }",Claim tokens held by airdrop contract based on proof provided by sender ` msg.sender ` based on position ` _position ` in airdrop list .
103,"function transferExternalToken ( address _kAddr , address _to , uint _amount ) public returns ( bool ) ;",Salvage ` _amount ` tokens at ` _kaddr ` and send them to ` _to `
104,"function addNewAirdrop ( uint _tokenAmount , string _name , uint _countDown , address _smartContract ) public minEth payable { Token t = Token ( _smartContract ) ; if ( t . balanceOf ( this ) >= _tokenAmount ) { uint lastIndex = airdrops . length ++ ; Airdrop storage airdrop = airdrops [ lastIndex ] ; airdrop . id = idCounter ; airdrop . tokenAmount = _tokenAmount ; airdrop . name = _name ; airdrop . countDown = _countDown ; airdrop . distributor = msg . sender ; airdrop . tokenSC = Token ( _smartContract ) ; airdrop . uniqueAirdrop [ msg . sender ] = _smartContract ; idCounter = airdrop . id + 1 ; } else revert ( 'Air Drop not added, Please make sure you send your ERC20 tokens to the smart contract before adding new airdrop' ) ; }",Adds a new airdrop to the smart contract and starts the count down until it is distributed
107,"function registerToken ( uint32 _tokenCode , address _tokenAddress , uint8 _tokenDecimals ) public onlyOwner ;",Allows the owner to register and the details for a token .
110,"function initialize ( address _snt , address _sntController , uint256 _startBlock , uint256 _endBlock , address _dynamicCeiling , address _destEthDevs , address _destTokensReserve , address _destTokensSgt , address _destTokensDevs , address _sgt , uint256 _maxSGTSupply ) public onlyOwner { require ( address ( SNT ) == 0x0 ) ; SNT = MiniMeToken ( _snt ) ; require ( SNT . totalSupply ( ) == 0 ) ; require ( SNT . controller ( ) == address ( this ) ) ; require ( SNT . decimals ( ) == 18 ) ; require ( _sntController != 0x0 ) ; sntController = _sntController ; require ( _startBlock >= getBlockNumber ( ) ) ; require ( _startBlock < _endBlock ) ; startBlock = _startBlock ; endBlock = _endBlock ; require ( _dynamicCeiling != 0x0 ) ; dynamicCeiling = DynamicCeiling ( _dynamicCeiling ) ; require ( _destEthDevs != 0x0 ) ; destEthDevs = _destEthDevs ; require ( _destTokensReserve != 0x0 ) ; destTokensReserve = _destTokensReserve ; require ( _destTokensSgt != 0x0 ) ; destTokensSgt = _destTokensSgt ; require ( _destTokensDevs != 0x0 ) ; destTokensDevs = _destTokensDevs ; require ( _sgt != 0x0 ) ; SGT = MiniMeToken ( _sgt ) ; require ( _maxSGTSupply >= MiniMeToken ( SGT ) . totalSupply ( ) ) ; maxSGTSupply = _maxSGTSupply ; }",This method should be called by the owner before the contribution period starts This initializes most of the parameters
111,"function mint ( address _to , uint _amount ) public onlyForeignBridge returns ( bool ) { uint curTotalSupply = totalSupply ( ) ; require ( curTotalSupply + _amount >= curTotalSupply ) ; uint previousBalanceTo = balanceOf ( _to ) ; require ( previousBalanceTo + _amount >= previousBalanceTo ) ; updateValueAtNow ( totalSupplyHistory , curTotalSupply + _amount ) ; updateValueAtNow ( balances [ _to ] , previousBalanceTo + _amount ) ; emit Mint ( _to , _amount ) ; emit Transfer ( 0x0 , _to , _amount ) ; return true ; }",Mints ` _amount ` tokens that are assigned to ` _owner `
112,function upgradeController ( address _newControllerAddress ) public onlyOwner { tokenContract . changeController ( _newControllerAddress ) ; UpgradedController ( _newControllerAddress ) ; },` onlyOwner ` can upgrade the controller contract
113,"function initialize ( address _token , address _destTokensReserve , address _destTokensTeam , address _destTokensBounties , address _destTokensAirdrop , address _destTokensAdvisors , address _destTokensEarlyInvestors ) public onlyOwner { require ( address ( token ) == 0x0 ) ; token = MiniMeToken ( _token ) ; require ( token . totalSupply ( ) == 0 ) ; require ( token . controller ( ) == address ( this ) ) ; require ( token . decimals ( ) == 8 ) ; require ( _destTokensReserve != 0x0 ) ; destTokensReserve = _destTokensReserve ; require ( _destTokensTeam != 0x0 ) ; destTokensTeam = _destTokensTeam ; require ( _destTokensBounties != 0x0 ) ; destTokensBounties = _destTokensBounties ; require ( _destTokensAirdrop != 0x0 ) ; destTokensAirdrop = _destTokensAirdrop ; require ( _destTokensAdvisors != 0x0 ) ; destTokensAdvisors = _destTokensAdvisors ; require ( _destTokensEarlyInvestors != 0x0 ) ; destTokensEarlyInvestors = _destTokensEarlyInvestors ; }",This method should be called by the owner before the contribution period starts This initializes most of the parameters
